Easting,Northing,Tree_ID,Year,Nests_Removed
519308,170504,,2013,1
519305,170601,,2013,1
519305,174338,,2013,1
519300,170477,,2013,1
519298,170502,,2013,25
519298,170597,,2013,1
519293,170579,,2013,1
519293,170580,,2013,1
519293,170585,,2013,3
519292,173754,,2013,2
519285,170525,,2013,9
519284,174331,,2013,1
519283,170717,,2013,3
519281,170496,,2013,2
519277,170518,,2013,6
519274,170489,,2013,3
519265,171733,,2013,4
519259,170484,,2013,2
519259,171070,,2013,3
519258,171734,,2013,3
519257,170701,,2013,2
519239,174096,,2013,1
519239,174339,,2013,1
519238,174057,,2013,1
519237,170561,,2013,2
519233,174084,,2013,1
519227,174106,,2013,2
519226,174088,,2013,2
519220,171441,,2013,2
519218,171138,,2013,4
519214,171722,,2013,1
519213,171133,,2013,1
519213,174098,,2013,1
519211,174033,,2013,1
519209,174086,,2013,1
519208,173852,,2013,1
519205,174022,,2013,1
519203,170744,,2013,9
519202,171195,,2013,20
519200,171793,,2013,3
519198,171437,,2013,5
519195,170729,,2013,2
519195,171464,,2013,4
519184,170693,,2013,2
519180,170836,,2013,1
519178,173899,,2013,1
519177,171484,,2013,3
519176,171219,,2013,2
519170,171722,,2013,1
519168,171499,,2013,6
519168,171522,,2013,2
519163,170930,,2013,29
519163,171509,,2013,3
519162,170831,,2013,1
519161,171534,,2013,1
519158,171187,,2013,4
519158,171813,,2013,4
519157,170787,,2013,2
519157,170874,,2013,23
519155,171778,,2013,1
519154,170820,,2013,1
519150,171518,,2013,27
519149,171685,,2013,1
519147,171532,,2013,10
519145,170885,,2013,7
519145,171189,,2013,2
519145,171225,,2013,4
519145,171729,,2013,8
519145,171738,,2013,3
519141,170947,,2013,1
519140,171211,,2013,3
519138,172783,,2013,1
519137,172640,,2013,1
519137,174349,,2013,1
519133,171532,,2013,6
519132,170915,,2013,5
519132,171475,,2013,1
519132,172578,,2013,2
519131,174354,,2013,1
519130,170950,,2013,3
519127,171542,,2013,2
519126,170912,,2013,4
519126,171571,,2013,2
519124,171465,,2013,4
519124,172718,,2013,2
519123,174336,,2013,2
519121,170861,,2013,4
519119,171332,,2013,1
519119,171500,,2013,21
519118,170944,,2013,3
519117,172733,,2013,1
519115,174303,,2013,19
519111,170863,,2013,1
519111,170989,,2013,3
519110,170962,,2013,2
519108,171575,,2013,1
519108,171648,,2013,6
519108,171661,,2013,3
519105,171002,,2013,1
519104,170945,,2013,2
519100,170871,,2013,1
519100,171643,,2013,3
519099,171022,,2013,3
519099,171187,,2013,7
519098,171613,,2013,16
519097,171227,,2013,1
519097,171454,,2013,4
519096,171454,,2013,1
519092,170993,,2013,5
519091,172013,,2013,1
519088,171049,,2013,5
519088,171480,,2013,1
519087,170908,,2013,6
519086,170902,,2013,4
519081,171013,,2013,1
519078,171058,,2013,1
519076,171176,,2013,2
519074,171093,,2013,6
519074,171596,,2013,7
519073,171041,,2013,1
519069,171886,,2013,1
519067,171023,,2013,3
519065,171666,,2013,3
519063,171064,,2013,1
519062,171674,,2013,1
519061,171002,,2013,3
519061,171099,,2013,6
519059,171029,,2013,1
519056,174006,,2013,1
519053,171651,,2013,2
519044,171071,,2013,25
519043,171068,,2013,5
519038,171376,,2013,1
519035,171115,,2013,5
519034,171146,,2013,7
519032,171134,,2013,10
519031,171126,,2013,7
519031,171194,,2013,1
519030,171201,,2013,2
519027,171156,,2013,2
519027,171175,,2013,2
519025,171180,,2013,2
519025,171687,,2013,1
519024,171111,,2013,1
519021,171586,,2013,1
519020,171183,,2013,12
519020,171187,,2013,8
519020,172589,,2013,1
519019,171243,,2013,1
519018,171115,,2013,2
519017,171146,,2013,1
519017,171726,,2013,3
519014,171792,,2013,1
519013,171195,,2013,3
519007,171194,,2013,5
519007,171263,,2013,1
519006,171225,,2013,4
519000,171212,,2013,4
518998,171200,,2013,6
518991,171262,,2013,1
518991,171289,,2013,3
518986,171279,,2013,1
518984,171307,,2013,1
518983,171342,,2013,5
518981,171275,,2013,1
518979,171369,,2013,3
518977,171384,,2013,2
518975,171260,,2013,9
518973,171286,,2013,5
518973,171357,,2013,2
518972,171318,,2013,3
518971,171397,,2013,2
518960,174215,,2013,4
518958,171418,,2013,1
518956,171350,,2013,2
518956,171405,,2013,6
518950,171329,,2013,8
518936,171463,,2013,4
518935,171439,,2013,12
518935,171680,,2013,2
518931,171579,,2013,6
518928,171484,,2013,4
518928,171563,,2013,12
518924,171506,,2013,1
518920,171610,,2013,1
518919,171499,,2013,1
518919,171518,,2013,3
518918,171479,,2013,1
518917,171535,,2013,3
518917,171567,,2013,1
518916,171492,,2013,1
518911,172125,,2013,2
518911,172550,,2013,6
518901,172171,,2013,1
518893,171534,,2013,6
518891,172587,,2013,3
518881,171704,,2013,8
518868,172509,,2013,2
518847,172204,,2013,2
518845,172551,,2013,3
518840,171907,,2013,4
518839,173309,,2013,3
518833,171919,,2013,1
518825,172096,,2013,2
518816,173210,,2013,1
518801,174007,,2013,2
518791,174022,,2013,1
518788,172277,,2013,1
518787,172238,,2013,2
518776,172808,,2013,2
518769,172368,,2013,2
518766,174022,,2013,1
518764,173258,,2013,2
518758,172810,,2013,1
518744,173141,,2013,1
518743,173164,,2013,1
518715,173045,,2013,1
518712,173035,,2013,2
518701,172665,,2013,1
518659,173059,,2013,1
518655,173176,,2013,2
518635,173159,,2013,2
518623,173441,,2013,1
518621,173256,,2013,6
518620,173388,,2013,6
518619,172601,,2013,1
518601,173343,,2013,3
518595,173600,,2013,7
518584,173795,,2013,1
518583,173585,,2013,2
518571,173083,,2013,2
518571,173645,,2013,2
518570,173120,,2013,1
518567,173669,,2013,1
518566,173454,,2013,1
518565,173489,,2013,4
518555,173067,,2013,2
518552,172791,,2013,1
518537,173571,,2013,2
518535,173510,,2013,1
518525,173455,,2013,1
518520,172903,,2013,3
518511,172710,,2013,1
518511,173036,,2013,2
518505,172860,,2013,5
518486,172991,,2013,2
518486,173455,,2013,2
518475,173560,,2013,2
518474,172991,,2013,2
518460,173187,,2013,5
518459,172862,,2013,11
518458,173443,,2013,4
518457,172932,,2013,4
518450,173031,,2013,20
518449,172724,,2013,3
518439,172945,,2013,4
518438,172755,,2013,3
518436,172916,,2013,4
518434,172859,,2013,1
518433,172843,,2013,7
518423,172988,,2013,4
518411,173473,,2013,4
518409,173016,,2013,9
518387,172753,,2013,3
518346,173207,,2013,16
518327,173276,,2013,1
518319,173264,,2013,1
518282,173030,,2013,1
518241,173151,,2013,6
522270,173110,,2014,2
522262,173128,,2014,1
522238,173170,,2014,4
522234,173172,,2014,10
522118,173362,,2014,1
521671,173876,,2014,7
521393,173266,,2014,15
521391,173280,,2014,6
521390,173256,,2014,4
521389,173507,,2014,4
521387,173288,,2014,1
521386,173750,,2014,3
521385,173415,,2014,1
521381,173250,,2014,5
521370,173507,,2014,1
521365,172478,,2014,1
521359,173522,,2014,5
521351,173472,,2014,20
521349,173242,,2014,1
521348,173554,,2014,1
521347,173270,,2014,1
521342,173627,,2014,2
521341,173229,,2014,1
521340,173281,,2014,1
521333,173221,,2014,1
521332,173144,,2014,5
521327,173346,,2014,2
521325,173674,,2014,4
521316,173984,,2014,1
521314,173311,,2014,3
521314,174113,,2014,6
521303,173468,,2014,1
521303,173857,,2014,7
521302,173282,,2014,7
521294,172456,,2014,3
521279,173239,,2014,9
521279,174122,,2014,17
521274,173592,,2014,34
521273,172934,,2014,1
521272,172279,,2014,3
521272,172940,,2014,6
521272,173261,,2014,17
521271,172795,,2014,2
521271,173313,,2014,3
521269,172280,,2014,4
521263,174133,,2014,1
521262,172867,,2014,1
521262,173358,,2014,12
521261,173332,,2014,14
521259,173508,,2014,12
521255,173377,,2014,18
521252,173521,,2014,17
521252,173653,,2014,1
521251,173491,,2014,12
521249,174069,,2014,1
521248,173587,,2014,24
521247,173409,,2014,13
521246,173658,,2014,2
521245,172371,,2014,2
521245,173434,,2014,5
521245,173634,,2014,1
521245,173655,,2014,4
521243,173652,,2014,1
521242,172246,,2014,3
521242,172836,,2014,2
521241,173572,,2014,8
521241,173622,,2014,1
521238,172276,,2014,2
521237,173458,,2014,7
521235,172861,,2014,6
521235,173590,,2014,6
521234,173627,,2014,2
521234,173656,,2014,11
521229,174168,,2014,1
521223,173620,,2014,7
521223,173637,,2014,2
521222,172950,,2014,1
521221,174025,,2014,2
521218,172271,,2014,1
521212,172526,,2014,5
521211,172483,,2014,21
521211,172936,,2014,1
521211,173565,,2014,7
521211,173641,,2014,1
521209,172289,,2014,1
521209,173584,,2014,5
521208,173991,,2014,6
521207,172523,,2014,5
521207,173632,,2014,1
521205,173494,,2014,5
521203,172398,,2014,4
521203,172936,,2014,1
521202,172267,,2014,9
521202,172507,,2014,2
521202,173573,,2014,4
521202,173635,,2014,1
521201,172371,,2014,1
521201,174165,,2014,1
521199,173618,,2014,4
521196,173606,,2014,5
521195,173627,,2014,1
521194,172320,,2014,3
521194,172391,,2014,1
521194,172927,,2014,1
521188,173252,,2014,1
521188,173260,,2014,2
521187,172526,,2014,1
521187,173584,,2014,15
521186,173566,,2014,10
521184,173252,,2014,2
521183,172251,,2014,1
521183,173258,,2014,2
521180,174091,,2014,6
521179,174046,,2014,5
521176,172858,,2014,2
521176,173599,,2014,12
521176,174104,,2014,3
521173,174068,,2014,8
521172,173260,,2014,1
521172,173265,,2014,1
521172,173281,,2014,12
521172,174056,,2014,1
521171,172311,,2014,3
521171,173580,,2014,11
521168,173262,,2014,2
521167,173427,,2014,2
521166,174091,,2014,8
521162,173411,,2014,2
521161,173427,,2014,2
521159,172343,,2014,10
521156,173593,,2014,9
521155,173576,,2014,13
521152,173414,,2014,3
521151,173261,,2014,21
521151,173555,,2014,17
521150,174103,,2014,4
